latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.779601550461045,-122.4777727574484,restroom,publicly_accessible,1.0,Outer Richmond,242,4
37.72920701409901,-122.4097418452673,restroom,publicly_accessible,9.0,Portola,29,15
37.79437397,-122.41185104,drinking_water,publicly_accessible,3.0,Nob Hill,738,6
37.7589939,-122.41823058,drinking_water,limited_access,9.0,Mission,1281,10
37.775397,-122.388882,drinking_water,publicly_accessible,6.0,Mission Bay,161,3
37.75148905168568,-122.43921687699716,restroom,publicly_accessible,8.0,Noe Valley,79,0
37.77074549,-122.49897683,drinking_water,publicly_accessible,1.0,Golden Gate Park,20,13
37.80117853,-122.41699363,drinking_water,publicly_accessible,3.0,Russian Hill,304,2
37.75944307,-122.42240855,drinking_water,publicly_accessible,9.0,Mission,1048,2
37.77256947,-122.46434064,drinking_water,publicly_accessible,1.0,Golden Gate Park,85,7
37.75167265818647,-122.45588190223847,restroom,publicly_accessible,7.0,Twin Peaks,7,0
37.77260711019376,-122.46078915491172,restroom,publicly_accessible,1.0,Golden Gate Park,86,7
37.76561026794416,-122.43757489547627,restroom,publicly_accessible,8.0,Castro/Upper Market,964,6
37.765307750000005,-122.44027741,drinking_water,publicly_accessible,8.0,Castro/Upper Market,465,7
37.78126343,-122.4251937,drinking_water,publicly_accessible,5.0,Western Addition,2023,23
37.7614187,-122.39134277,drinking_water,publicly_accessible,10.0,Potrero Hill,201,3
37.7174815,-122.47038418,drinking_water,publicly_accessible,11.0,Oceanview/Merced/Ingleside,9,25
37.76638470261748,-122.476697089109,restroom,publicly_accessible,7.0,Golden Gate Park,61,34
37.74997657488508,-122.41197072408411,restroom,publicly_accessible,9.0,Mission,358,12
37.71773927453103,-122.4701559768888,restroom,publicly_accessible,11.0,Oceanview/Merced/Ingleside,9,23
37.72368991,-122.42308907,drinking_water,publicly_accessible,11.0,McLaren Park,16,12
37.77958077,-122.47777182,drinking_water,publicly_accessible,1.0,Outer Richmond,243,4
37.73247219967324,-122.37603821479244,restroom,publicly_accessible,10.0,Bayview Hunters Point,9,12
37.77092973,-122.47696558,drinking_water,publicly_accessible,7.0,Golden Gate Park,29,28
