latitude,longitude,district,sf_find_neighborhood,supervisor,tents,structures,observed_month,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved
37.72777366755,-122.38195660429,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,312.80975844190925,4,35,False
37.72724408048,-122.38239410278,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,337.952940209167,3,36,False
37.72643838513,-122.38103049954,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,455.14978834234694,3,25,False
37.73740710088,-122.42492001504,INGLESIDE,Holly Park,8.0,0,1,2025-06-01,381.03531676355175,3,118,False
37.72624304657,-122.38216556211,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,427.32127742679546,3,31,False
37.71763847424,-122.47319173068,TARAVAL,Parkmerced,7.0,0,0,2025-06-01,246.72714711995187,4,5,False
37.72678752569,-122.38317371146,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,359.3924045157268,3,39,False
37.7311756531,-122.37715264487,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,138.50254217125558,4,14,False
37.74079187718,-122.39892721133,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,303.9994905131882,1,276,False
37.72464751597,-122.47478328645,TARAVAL,Stonestown,7.0,0,0,2025-06-01,71.84610331168244,2,13,False
37.7423001795,-122.39714998338,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,208.0766220474974,1,233,False
37.72516861276,-122.47518964112,TARAVAL,Stonestown,7.0,0,0,2025-06-01,95.93675733685436,2,15,False
37.72223173364,-122.39184410501,BAYVIEW,Bret Harte,10.0,0,0,2025-06-01,299.9697382078523,4,64,False
37.73797371239,-122.41882033646,INGLESIDE,Holly Park,9.0,0,0,2025-06-01,170.28038028741304,7,118,False
37.73811529831,-122.42042127997,INGLESIDE,Holly Park,9.0,0,0,2025-06-01,88.29971847789426,7,143,False
37.74325437696,-122.39955386352,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,124.65416336893891,1,481,False
37.74713881952,-122.39595035236,BAYVIEW,Produce Market,10.0,0,0,2025-06-01,340.5896436044631,1,77,False
37.72790845634,-122.38084958755,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,341.51515765317816,4,29,False
37.73116878471,-122.48050209135,TARAVAL,Merced Manor,7.0,0,0,2025-06-01,413.41306996372873,3,17,False
